"id","source","hyperlink","building_type","building","vacancy_rate","household_size","all_uses","du_density","emp_density","Pct_SF_Large_Lot","Pct_SF_Small_Lot","Pct_Attached_SF","Pct_MF_2_to_4","Pct_MF_5_Plus","Pct_Emp_Office_Svc","Pct_Educ_Svc","Pct_Medical_Svc","Pct_Public_Admin","Pct_Retail_Svc","Pct_Restaurant","Pct_Accommodation","Pct_Arts_Entertainment","Pct_Other_Svc","Pct_Manufacturing","Pct_Transport_warehouse","Pct_Wholesale","Pct_Construction_Util","Pct_Agriculture","Pct_Extraction","percent_of_building_type","floors","total_far","parking_spaces","parking_structure_square_feet","residential_efficiency","residential_lot_square_feet","square_feet_per_du","retail_efficiency","retail_square_feet_per_employee","office_efficiency","office_square_feet_per_employee","industrial_efficiency","industrial_square_feet_per_employee","misc_percent_of_retail_use","retail_percent_of_retail_use","restaurant_percent_of_retail_use","grocery_percent_of_retail_use","hardscape_percent","irrigated_percent","impervious_roof_percent","impervious_hardscape_percent","pervious_hardscape_percent","softscape_landscape_percent","id"
20,0,0,"Low-Rise Mixed Use","Mid-Rise Mixed (East End Gateway, Sacramento)",0.0635,2.245,0,140.1594857,15.37163621,0,0,0,0,0.932,0,0,0,0,0.02788,0.00476,0,0.0024752,0.0328848,0,0,0,0,0,0,0.02,8,2.9,171.94,56740.2,0.85,0,714,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.35,1,0,0,0,420
21,"GGLO",0,"Low-Rise Mixed Use","Mid-Rise Mixed (Site 17, Seattle)",0.0635,2.245,0,193.7131434,8.624329768,0,0,0,0,0.976,0,0,0,0,0.00984,0.00168,0,0.005616,0.006864,0,0,0,0,0,0,0.02,7,4.61,197.8097001,65277.2,0.85,0,860,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.35,1,0,0,0,421
22,"GGLO",0,"Low-Rise Mixed Use","Mid-Rise Mixed (Alcyone, Seattle)",0.0635,2.245,0,193.3692295,3.549819032,0,0,0,0,0.989,0,0,0,0,0.00451,0.00077,0,0.002288,0.003432,0,0,0,0,0,0,0.02,7,4.14,196.39,64808.7,0.85,0,784,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.99,0.35,0.99,0,0,0,422
23,"HM",0,"Low-Rise Mixed Use","Mid-Rise Mixed (1885 University/New Californian, Berkeley)",0.0635,2.245,0,149.8249055,21.5424,0,0,0,0,0.9,0,0,0,0,0.041,0.007,0,0.0208,0.0312,0,0,0,0,0,0,0.02,5,3.2,154,50820,0.85,0,712,0.85,550,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.9,0.35,0.9,0,0,0,423
24,"PK",0,"Low-Rise Mixed Use","Mid-Rise Mixed (Touriel Bldg, Berkeley)",0.0635,2.245,0,199.1208912,16.62506375,0,0,0,0,0.938,0,0,0,0,0.02542,0.00434,0,0.012896,0.019344,0,0,0,0,0,0,0.02,5,3.44,45.55,15031.5,0.85,0,600,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.35,1,0,0,0,424
26,0,0,"Low-Rise Mixed Use","Low-Rise Mixed (Stone Way Apts, Seattle)",0.0635,1.57,0,97.88648378,18.37347044,0,0,0,0,0.903,0,0,0,0,0.03977,0.00679,0,0.0035308,0.0469092,0,0,0,0,0,0,0.2,4,2.43,154.93,51126.9,0.85,0,830,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.8,0.35,0.8,0,0,0,426
27,0,0,"Low-Rise Mixed Use","Low-Rise Mixed (200 Second Street, Oakland)",0.0635,1.845,0,161.0270357,31.27722632,0,0,0,0,0.893,0,0,0,0,0.04387,0.00749,0,0.0038948,0.0517452,0,0,0,0,0,0,0.05,6,3.75,178,58740,0.85,0,770,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.98,0.35,0.98,0,0,0,427
28,0,0,"Low-Rise Mixed Use","Low-Rise Mixed (Cabrini First Hill Apts, Seattle)",0.0635,1.845,0,160.850603,39.94598728,0,0,0,0,0.854,0,0,0,0,0.05986,0.01022,0,0.0053144,0.0706056,0,0,0,0,0,0,0.05,6,3.51,109.68,36194.4,0.85,0,690,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.35,0.95,0,0,0,428
29,0,0,"Low-Rise Mixed Use","Low-Rise Mixed (Kinsey Flats, Cincinnati, OH)",0.0635,1.585,0,30.10777957,22.99758912,0,0,0,0,0.76,0,0,0,0,0.0984,0.0168,0,0.008736,0.116064,0,0,0,0,0,0,0.15,4,1.1646,131.7657576,43482.7,0.859,0,1100,0.85,450,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,0.95,0.35,0.95,0,0,0,429
30,0,0,"Low-Rise Mixed Use","Low-Rise Mixed (Shattuck Lofts, Berkeley)",0.0635,2.245,0,177.7248,31.17978947,0,0,0,0,0.9,0,0,0,0,0.041,0.007,0,0.0208,0.0312,0,0,0,0,0,0,0.05,4,4,240.669,79420.77,0.85,0,750,0.85,475,0.85,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.35,1,0,0,0,430
