id,source,hyperlink,building_type,building,vacancy_rate,household_size,all_uses,du_density,emp_density,Pct_SF_Large_Lot,Pct_SF_Small_Lot,Pct_Attached_SF,Pct_MF_2_to_4,Pct_MF_5_Plus,Pct_Emp_Office_Svc,Pct_Educ_Svc,Pct_Medical_Svc,Pct_Public_Admin,Pct_Retail_Svc,Pct_Restaurant,Pct_Accommodation,Pct_Arts_Entertainment,Pct_Other_Svc,Pct_Manufacturing,Pct_Transport_warehouse,Pct_Wholesale,Pct_Construction_Util,Pct_Agriculture,Pct_Extraction,percent_of_building_type,floors,total_far,parking_spaces,parking_structure_square_feet,residential_efficiency,residential_lot_square_feet,square_feet_per_du,retail_efficiency,retail_square_feet_per_employee,office_efficiency,office_square_feet_per_employee,industrial_efficiency,industrial_square_feet_per_employee,misc_percent_of_retail_use,retail_percent_of_retail_use,restaurant_percent_of_retail_use,grocery_percent_of_retail_use,hardscape_percent,irrigated_percent,impervious_roof_percent,impervious_hardscape_percent,pervious_hardscape_percent,softscape_landscape_percent,id
42,0,0,SACOG Residential/Retail Mixed Use Low,"Main Street Commercial/MU (Heilig-Levine, Raleigh NC)",0.0635,0,", Office Services, ",0,225.935637,0,0,0,0,0,0.52,0,0,0,0.1968,0.0336,0,0.1248,0.1248,0,0,0,0,0,0,0.21,3,2.4,75.579736,24941.31288,0.85,4012,1200,0.95,445,0.95,300,0.85,1000,0.52,0.34,0.07,0.07,1,0.5,1,0,0,0,642
43,0,0,SACOG Residential/Retail Mixed Use Low,Main Street Commercial/MU (SCAG Lifestyle Main Street),0.0635,2.105,"Multi-family 5+, Retail Services, ",10.4544,37.140632,0,0,0,0,0.4,0,0,0,0,0.246,0.042,0,0.02184,0.29016,0,0,0,0,0,0,0.2,4,0.75,28.0962,9271.746,0.85,0,1063,0.9,475,0.85,350,0.85,1000,0.52,0.34,0.07,0.07,0.19,0.2,0,0,0,0,643
68,0,#VALUE!,SACOG Urban Attached Residential,Low-Rise Residential (AC Low Rise Res/MU),0.0635,1.935,"Multi-family 5+, Retail Services, ",91.001402,6.193941,0,0,0,0,0.97,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0.1,5,3,109.201682,36036.5552,0.85,0,1184,0.85,538,0.85,350,0.85,1000,0,0.8,0.2,0,0.6,0.2,0,0,0,0,1168
70,0,0,SACOG Urban Attached Residential,Low-Rise Residential (SACOG 45. Intense Urban Res),0.0635,2.245,"Multi-family 5+, Retail Services, ",125.5254,20.216196,0,0,0,0,0.95,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.1,6,2.73,150.63048,49708.0584,0.85,0,765,0.85,250,0.85,350,0.85,1000,0,0.8,0.2,0,0.46,0.15,0,0,0,0,1170
71,!,0,SACOG Urban Attached Residential,Fake Low-Rise Residential for SACOG,0.0635,2.245,"Multi-family 5+, , ",132.132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,6,2.73,158.5584,52324.272,0.85,0,765,0.85,250,0.85,350,0.85,1000,0,0.8,0.2,0,0.46,0.15,0,0,0,0,1171
72,0,0,SACOG Urban Attached Residential,Low-Rise Residential (SCAG Apt/Condo Hi),0.0635,2.245,"Multi-family 5+, , ",111.078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4,3,133.2936,43986.888,0.85,0,1000,0.85,750,0.85,350,0.85,1000,0,0.8,0.2,0,0.75,0.5,0,0,0,0,1172
74,0,0,SACOG Urban Attached Residential,"Low-Rise Residential (25-35 Dolores, SF)",0.0635,2.245,"Multi-family 5+, , ",103.911677,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,4,2.61,88.9,29337,0.85,0,930,0.85,450,0.85,350,0.85,1000,0,0.8,0.2,0,0.65,0.5,0,0,0,0,1174
76,0,0,SACOG Urban Attached Residential,"Low-Rise Residential (MODA Lofts, Stapleton, Denver)",0.0635,2.245,"Multi-family 5+, , ",79.960404,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,4,2.03,127.42,42048.6,0.85,0,940,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.97,0.5,0.97,0,0,0,1176
77,0,0,SACOG Urban Attached Residential,"Low-Rise Residential (Darling Florist Bldg, Berkeley)",0.0635,1.635,"Multi-family 5+, Retail Services, ",199.9404,33.3234,0,0,0,0,0.9,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0.1,5,4.5,239.92848,79176.3984,0.85,0,750,0.85,500,0.85,350,0.85,1000,0,0.8,0.2,0,0.98,0.5,0.98,0,0,0,1177
81,0,0,SACOG Very High Density Attached Residential,Low-Rise Residential (SCAG Apt/Condo Hi),0.0635,2.245,"Multi-family 5+, , ",111.078,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4,3,138.8475,45819.675,0.85,0,1000,0.85,750,0.85,350,0.85,1000,0,0.8,0.2,0,0.75,0.5,0,0,0,0,1281
